Gene	Num
IMPG1	4
HAPLN4	4
KCTD19	4
CCDC180	4
PSMC4	4
GRIK3	4
E2F7	4
ROBO1	4
FAM184A	4
POM121L12	4
SEPT1	4
PCDHA1	4
AGRN	4
SLC6A3	4
CDK5RAP2	4
COL11A2	4
OSBPL6	4
PZP	4
PDE3A	4
ZNF667	4
HTR1F	4
VSTM2B	4
VPS9D1	4
PRR23A	4
TRIP10	4
TBX20	4
NOX4	4
ZNF91	4
CACNA2D4	4
ATP9A	4
EIF5B	4
NOBOX	4
NLGN4X	4
ARVCF	4
MOV10	4
OR5D16	4
ASMT	4
PCNXL4	4
AEBP1	4
PMS2	4
COBLL1	4
LLGL1	4
OR10G8	4
KIF6	4
SLC45A4	4
SNED1	4
ABCC11	4
ZNF880	4
CA10	4
MAP4K5	4
PRDM10	4
ADAM32	4
ACSM2B	4
ATG2B	4
SCUBE1	4
TPO	4
F8	4
SLITRK2	4
FASN	4
CECR2	4
URB2	4
ATXN10	4
PABPC5	4
MAP3K5	4
SNAP91	4
FRYL	4
OR2M2	4
PEAK1	4
ITGB4	4
NCOR1	4
MYH4	4
HACD3	4
OTUD7B	4
TSC1	4
KIF5C	4
KCNQ4	4
BARD1	4
YES1	4
OTUD4	4
CES1	4
VWDE	4
CEP170B	4
PLXNA2	4
PIEZO1	4
UBE2O	4
PIK3C2B	4
RET	4
ARHGAP36	4
RECQL5	4
DMXL1	4
OR4A15	4
SMG8	4
DNHD1	4
PRAMEF4	4
PCDHGB1	4
PRKCB	4
TCF4	4
SLC6A19	4
CHD6	4
GUCY1A3	4
CRNKL1	4
TJP1	4
UBQLNL	4
ITGA10	4
TARS	4
RPS6KA5	4
SYNRG	4
ERO1LB	4
CPNE8	4
SIRPG	4
KCNQ2	4
CACNA2D1	4
NPHP3	4
PLXNB1	4
PLG	4
GSDMC	4
GOLGA6L10	4
PSG3	4
DZIP3	3
BCO1	3
PJA2	3
DNAH1	3
ADAM28	3
CIZ1	3
TTC3	3
OR8G1	3
OR4A16	3
MPPED2	3
NEU4	3
BTRC	3
KCNT1	3
MORC2	3
MYCBPAP	3
KIF26A	3
PRB4	3
ATRN	3
PIK3CB	3
OR4C46	3
TSPYL2	3
AACS	3
MAMLD1	3
ATP8B4	3
SLC13A4	3
RECK	3
ZSCAN18	3
DDX5	3
FOXRED2	3
MICALCL	3
ENOX1	3
CDH4	3
PRDM16	3
POTEF	3
ANKH	3
COPB1	3
DYRK1A	3
NUP93	3
GLRB	3
SNCAIP	3
PRRC1	3
VPS13A	3
SGIP1	3
CYP4F22	3
HIP1	3
FAM179B	3
TEAD4	3
BCL11A	3
ATP2B4	3
ZNF607	3
KLHL4	3
PTGER4	3
OR52A5	3
LAMB1	3
CLINT1	3
SH3GL3	3
FANK1	3
FHOD3	3
OR4S2	3
DYNC1H1	3
CDH19	3
ZC3H12C	3
ZFP64	3
ZNF254	3
ARFGEF2	3
SCAPER	3
FNIP1	3
ZBTB7B	3
TRIOBP	3
RPA1	3
POU4F3	3
HNRNPCL2	3
RHOBTB1	3
THBS2	3
FRZB	3
DCN	3
DBF4	3
IGDCC3	3
CHRNG	3
TOP3B	3
TTI1	3
OR5H1	3
HEATR1	3
NDNF	3
ATP13A3	3
ARC	3
IRS1	3
PCDHAC2	3
GRIK2	3
NLRC5	3
NTRK3	3
ACCSL	3
SUV420H2	3
COL16A1	3
KCNA6	3
NPAS2	3
SRCIN1	3
PKHD1	3
G2E3	3
GRN	3
ADAMTS13	3
ERN2	3
TNRC18	3
HIST1H3B	3
TMF1	3
ZNF648	3
C6	3
EIF3K	3
MAPK6	3
DPP7	3
STAB1	3
SCN10A	3
RGPD3	3
MID2	3
BCAR1	3
MARCO	3
ZNF493	3
ABCG8	3
FAM184B	3
OR2M7	3
RFX7	3
CYTH3	3
TAF2	3
BRINP2	3
DCAF16	3
ZNF813	3
VWF	3
EML2	3
ACVR1B	3
EVI5	3
FAM83G	3
KIF21A	3
PDCD6IP	3
ADAMTS8	3
SMARCAD1	3
PHKA2	3
INHBE	3
MTMR9	3
LY75	3
RFX2	3
PCDHA9	3
TRERF1	3
ABCD2	3
LONP1	3
KCNK13	3
NID2	3
IFI44L	3
CHAF1A	3
SLC44A5	3
AAK1	3
TAS2R46	3
OR8H1	3
EML6	3
PANK2	3
FANCA	3
IGKV3D-20	3
C16orf78	3
RBL2	3
IRGQ	3
POLR3A	3
PGBD2	3
ZNF749	3
HFE2	3
CNOT6L	3
NR5A2	3
OR7D2	3
AGAP1	3
ZNF470	3
TLE2	3
CLCA2	3
PINK1	3
KDM6B	3
ADH1C	3
SLC3A1	3
SMAD3	3
SEC16B	3
PSMD1	3
EPPK1	3
PGR	3
KIF16B	3
SNTA1	3
NEK11	3
AP1M1	3
INF2	3
UBR1	3
OR2T4	3
ATG2A	3
CASP8	3
TNRC6B	3
IPP	3
ZNF185	3
RXFP2	3
KLK4	3
SLCO3A1	3
KRT1	3
EIF4G2	3
KIF2B	3
THSD4	3
OR10H2	3
LNX1	3
MC4R	3
MYLK	3
BICD2	3
NUTM1	3
TRPM4	3
ANKS3	3
EFCAB13	3
NDST1	3
KIAA0753	3
WI2-3308P17.2	3
PHF14	3
KIAA1467	3
ADAMTS18	3
PIEZO2	3
RBM19	3
HIF1A	3
GPR32	3
PRKG1	3
IL6ST	3
ALPK2	3
INTS1	3
NKX2-5	3
MARCH6	3
CELSR3	3
SCUBE2	3
CBL	3
TRIM27	3
PRAMEF20	3
SETD1A	3
RIC3	3
PPP1R16B	3
SKOR1	3
ACSF2	3
ARHGEF12	3
SMOC2	3
ADAM22	3
MPHOSPH8	3
FAM46D	3
PLAU	3
KRTAP2-3	3
DNMBP	3
KRR1	3
STAT1	3
CAPNS1	3
KCNA1	3
OR4C12	3
ZNF384	3
EVI5L	3
HCN4	3
IFT172	3
ATMIN	3
CFAP61	3
PCM1	3
OR10H4	3
LMO7	3
VAV1	3
CFTR	3
OTOGL	3
PRKAR2B	3
SP140L	3
ABCC4	3
CBX6	3
ZNF415	3
FMO4	3
ROCK2	3
OR51F1	3
LGR6	3
MMP2	3
CHRNB1	3
PRLHR	3
COCH	3
ITGA6	3
KRTAP4-7	3
CAPN13	3
CCR9	3
OR2C3	3
PCDHGB4	3
ERP27	3
ERCC6L2	3
VANGL2	3
TIE1	3
ZZEF1	3
CCDC155	3
EPS15L1	3
SLCO6A1	3
UTP3	3
MOXD1	3
GALNT14	3
ZNF281	3
KDM4A	3
LIMK2	3
PDE11A	3
CCDC136	3
COL5A2	3
PRAMEF5	3
KSR1	3
ADCY2	3
EDIL3	3
PDS5A	3
OR6C68	3
MLLT10	3
ACSM5	3
TNK2	3
ADGRL3	3
CCDC171	3
RUSC2	3
RNF111	3
MFI2	3
CFAP58	3
ZCWPW1	3
GCG	3
ZNF385D	3
USP6NL	3
NLRC4	3
ATN1	3
NIFK	3
KLHL30	3
RBM10	3
ZMYM6	3
DCX	3
NLRP2	3
SUCO	3
CCDC93	3
ANKRD30BL	3
COL4A4	3
ZNF562	3
PRAMEF14	3
KIF4A	3
CUX1	3
DTL	3
LRP8	3
ZNF441	3
KIF13B	3
FBXL4	3
ZSCAN23	3
RBMXL2	3
NSMAF	3
NUAK1	3
NPR2	3
INCENP	3
MICAL2	3
DOCK9	3
TGM5	3
ITGB6	3
ADCY10	3
SAFB	3
NEO1	3
PSG6	3
RPS6KL1	3
FGA	3
ZNF479	3
WSCD2	3
C2orf71	3
XDH	3
HDAC6	3
DOC2A	3
GUCY2D	3
FPGT-TNNI3K	3
KIF3A	3
FAM133A	3
TMEM246	3
SFI1	3
KCND2	3
ZNF844	3
ZNF534	3
SLX4	3
SLIT3	3
SCAP	3
CPED1	3
P3H2	3
KIR3DL2	3
LTBP3	3
SERPINA4	3
PRR16	3
ARPP21	3
ANKRD20A4	3
RINT1	3
NFATC4	3
STOX2	3
ARRB1	3
NFYA	3
SEC61A1	3
PLIN4	3
EPHB2	3
NOP9	3
SLC12A5	3
VCP	3
TNIK	3
PIGN	3
ZNF485	3
SPON1	3
DDX60L	3
ATP2A1	3
FBXO3	3
YAP1	3
GAS2L2	3
RAVER1	3
ERCC6	3
PLEKHG5	3
HOMEZ	3
NAA25	3
TSHZ3	3
OR1L6	3
ERV3-1	3
KRT14	3
MOCS3	3
PRRC2B	3
WDR7	3
AP3B1	3
EPHA4	3
EXD2	3
FRMPD1	3
TRIM42	3
SAGE1	3
EPX	3
ANLN	3
PKP1	3
BCOR	3
FLOT2	3
NHSL1	3
KIAA2026	3
LRRC66	3
SLC26A7	3
GTF3C3	3
UGT3A2	3
ATP10B	3
KIRREL3	3
MARK3	3
UBR3	3
PPP1R26	3
HPX	3
DIS3L	3
CARF	3
COL1A2	3
STXBP5	3
CTTNBP2	3
SRRM2	3
DCLRE1C	3
MYO1D	3
NUP98	3
TRIM3	3
QRICH2	3
NOP14	3
SYDE1	3
KCNV1	3
PER1	3
FGF14	3
SOBP	3
SIGLEC6	3
NR2C2	3
OR5J2	3
TIAM1	3
STT3B	3
ZNF695	3
OVGP1	3
COG5	3
PAPPA	3
XKR7	3
GUSB	3
NLRP14	3
AMACR	3
ARID4B	3
ZNF736	3
DKK2	3
IREB2	3
NCEH1	3
OLA1	3
TPST2	3
RTCB	3
OR5AS1	3
TXNDC16	3
KIRREL	3
EP400	3
EIF3A	3
EPHA2	3
ZNF460	3
FCRL1	3
BRD8	3
CNBD2	3
ACTL7A	3
SLC16A4	3
YY1AP1	3
C4orf27	3
CFAP221	3
MEIS1	3
OR2G2	3
CBFA2T3	3
MCM9	3
PLVAP	3
ABCB6	3
ELMO2	3
SLC19A1	3
TFAP2A	3
KAT6A	3
NCOA6	3
TFIP11	3
TRPC3	3
CD22	3
IQSEC1	3
KIT	3
MORC1	3
FLNA	3
PCDHB16	3
MICAL1	3
LAMC1	3
SUSD2	3
ALG10	3
POLRMT	3
PIP4K2B	3
BRIP1	3
ADAP2	3
ANKRD36B	3
NCDN	3
MST1	3
EPN1	3
SCEL	3
KANK4	3
PDCD11	3
BRWD3	3
SGSM2	3
TPR	3
KIAA1033	3
PRAMEF8	3
CEP192	3
OR4N2	3
CHRNA1	3
SIGLEC9	3
PITPNM2	3
IL1RAPL1	3
NCKAP1L	3
CDCA2	3
BPIFC	3
PATZ1	3
SRGAP3	3
TWISTNB	3
NLRP3	3
TIGD7	3
DAZAP2	3
KEAP1	3
LSM14A	3
AKAP3	3
NTM	3
SYT3	3
UBE4B	3
ZNF561	3
FMN1	3
JAK1	3
ANKRD26	3
LRRN3	3
IGHG4	3
PLCB3	3
EPHA7	3
DYSF	3
NPEPL1	3
PHYHIPL	3
ZBTB20	3
